,名稱,註冊號碼,地址,統編,緯度,經度,日期
152,日正食品工業股份有限公司深坑廠,99617126,新北市深坑區北深路三段一四一巷九號,22425683,121.6033,25.00218,中華民國59年08月23日 03:38:51
153,長隆食品股份有限公司,99606633,新北市板橋區信義路一六三巷四號三樓,86587493,121.45923,24.99264,中華民國59年08月23日 03:38:51
154,聯發國際餐飲事業股份有限公司,99604586,新北市蘆洲區國道路2段26號4樓,80676602,121.47448,25.07373,中華民國59年08月23日 03:38:51
155,百原食品有限公司,99616579,新北市五股區中興路1段61號、59號(1樓),16995453,121.46788,25.07255,中華民國59年08月23日 03:38:51
156,超人有限公司,99615794,新北市中和區中板路15巷1號3樓,89498349,121.48433,25.01148,中華民國59年08月23日 03:38:51
157,柏泰食品興業股份有限公司,99613503,新北市新店區中正路五四巷三十號五樓,38443032,121.5454,24.9706,中華民國59年08月23日 03:38:51
158,大同茶業股份有限公司土城廠,99601691,新北市土城區自強街二二號,7015204,121.43237,24.97145,中華民國59年08月23日 03:38:51
159,鬍鬚張股份有限公司五股廠,99602405,新北市五股區五工一路一０六號,22721208,121.45728,25.06981,中華民國59年08月23日 03:38:51
160,佳糧股份有限公司,99602026,新北市新莊區五權二路二四號之一,23517823,121.45855,25.06777,中華民國59年08月23日 03:38:51
161,愛欣食品有限公司,99601194,新北市淡水區八勢一街一號,89797986,121.45993,25.1561,中華民國59年08月23日 03:38:51
162,群賀食品企業有限公司,99690661,新北市中和區立德街二六巷五弄五號,84520716,121.48972,25.00727,中華民國59年08月23日 03:38:51
163,晉東食品工業有限公司,99610474,新北市土城區中央路三段一二六巷三六弄一號,84240525,121.43442,24.96809,中華民國59年08月23日 03:38:51
164,三益化工香料有限公司,99603380,新北市中和區建三路五七號七樓,22911946,121.48618,25.00179,中華民國59年08月23日 03:38:51
165,福亭食品工業有限公司,99615986,新北市土城區亞洲路四二號,84560168,121.43571,24.97393,中華民國59年08月23日 03:38:51
166,邱氏鼎食品企業股份有限公司土城廠,99600825,新北市土城區自強街三一之二及之三號,5135956,121.42906,24.96931,中華民國59年08月23日 03:38:51
